Time	FPS	Frame	Crash	RB	RU	LU	LB	OC	Dither	DAngle	swAngle	OX	OY	OZ	HX	HY	HZ	DX	DY	DZ	HA	AccumulativeHeading(Y)	Speed	RSpeed	Dynamic
2.63553	28.0054	73	0	-1	1	1	-1	-1	3.01736	-2.35522e-002	0.	-2.7747	-3.55591	0.	4.12092e-004	1.	0.	4.12092e-004	1.	0.	0.	2.36111e-002	-16.	15.7857	0	
2.66846	30.3674	74	0	-1	1	1	-1	-1	3.04725	-2.35522e-002	0.	-2.77473	-3.62998	0.	4.12092e-004	1.	0.	4.12092e-004	1.	0.	0.	2.36111e-002	-16.	15.7832	0	
2.70007	31.6324	75	0	-1	1	1	-1	-1	3.07864	-2.35522e-002	0.	-2.77476	-3.70405	0.	4.12092e-004	1.	0.	4.12092e-004	1.	0.	0.	2.36111e-002	-16.	15.8026	0	
2.73356	29.8619	76	0	-1	1	1	-1	-1	3.11147	-2.35522e-002	0.	-2.77479	-3.77813	0.	4.12092e-004	1.	0.	4.12092e-004	1.	0.	0.	2.36111e-002	-16.	15.8127	0	
2.7657	31.1145	77	0	-1	1	1	-1	-1	3.14571	-2.35522e-002	0.	-2.77482	-3.8522	0.	4.12092e-004	1.	0.	4.12092e-004	1.	0.	0.	2.36111e-002	-16.	15.804	0	
2.7972	31.7406	78	0	-1	1	1	-1	-1	3.1813	-2.35522e-002	0.	-2.77486	-3.92628	0.	4.12092e-004	1.	0.	4.12092e-004	1.	0.	0.	2.36111e-002	-16.	15.8141	0	
2.82688	33.7023	79	0	-1	1	1	-1	-1	3.2182	-2.35522e-002	0.	-2.77489	-4.00035	0.	4.12092e-004	1.	0.	4.12092e-004	1.	0.	0.	2.36111e-002	-16.	15.8198	0	
2.85854	31.5817	80	0	-1	1	1	-1	-1	3.25637	-2.35522e-002	0.	-2.77492	-4.07442	0.	4.12092e-004	1.	0.	4.12092e-004	1.	0.	0.	2.36111e-002	-16.	15.8321	0	
2.8912	30.622	81	0	-1	1	1	-1	-1	3.26402	-4.71633e-002	0.	-2.73694	-4.14886	0.	8.24183e-004	1.	0.	8.24183e-004	1.	0.	1.41667	4.72222e-002	-16.	17.8511	0	
2.91979	34.9723	82	0	-1	1	1	-1	-1	3.27325	-9.43855e-002	0.	-2.69805	-4.22367	0.	1.64837e-003	0.999999	0.	1.64837e-003	0.999999	0.	2.83333	9.44444e-002	-16.	18.0055	0	
2.94689	36.8992	83	0	-1	1	1	-1	-1	3.3153	-0.117997	0.	-2.69723	-4.2981	0.	2.06046e-003	0.999998	0.	2.06046e-003	0.999998	0.	1.41667	0.118056	-16.	15.9195	0	
2.97688	33.3441	84	0	-1	1	1	-1	-1	3.32831	-0.165219	0.	-2.65844	-4.37295	0.	2.88464e-003	0.999996	0.	2.88464e-003	0.999996	0.	2.83333	0.165278	-16.	18.0437	0	
3.00464	36.0239	85	0	-1	1	1	-1	-1	3.34295	-0.236052	0.	-2.61877	-4.4482	0.	4.1209e-003	0.999992	0.	4.1209e-003	0.999992	0.	4.25	0.236111	-16.	18.1875	0	
3.03177	36.8629	86	0	-1	1	1	-1	-1	3.35929	-0.330497	0.	-2.57826	-4.52384	0.	5.76925e-003	0.999983	0.	5.76925e-003	0.999983	0.	5.66667	0.330556	-16.	18.364	0	
3.05711	39.4626	87	0	-1	1	1	-1	-1	3.37741	-0.448552	0.	-2.53693	-4.59991	0.	7.82966e-003	0.999969	0.	7.82966e-003	0.999969	0.	7.08333	0.448611	-16.	18.5316	0	
3.08519	35.6133	88	0	-1	1	1	-1	-1	3.39736	-0.590219	0.	-2.49483	-4.67643	0.	1.03021e-002	0.999947	0.	1.03021e-002	0.999947	0.	8.5	0.590278	-16.	18.7074	0	
3.11104	38.6771	89	0	-1	-1	-1	-1	-1	3.44649	-0.708274	0.	-2.49093	-4.7523	0.	1.23624e-002	0.999924	0.	1.23624e-002	0.999924	0.	7.08333	0.708333	-16.	16.2613	0	
3.14661	28.1166	90	0	-1	2	2	-1	1	3.89436e-002	-9.44444e-002	0.	-2.57618e-002	-2.34117	0.	1.64939e-003	0.999999	0.	1.64939e-003	0.999999	0.	-36.8298	9.45034e-002	0.	738.637	0	
