Time	FPS	Frame	Crash	RB	RU	LU	LB	OC	Dither	DAngle	swAngle	OX	OY	OZ	HX	HY	HZ	HA	AccumulativeHeading(Y)	Speed
4.35068	59.3044	79	0	4	6	6	4	5	9.92189e-005	2.08243e-003	0.	0.	6.72222	0.	0.	1.	0.	0.	0.	60.	
4.36773	58.644	80	0	4	6	6	4	5	1.09315e-004	2.08243e-003	0.	0.	7.	0.	0.	1.	0.	0.	0.	60.	
4.38457	59.3841	81	0	4	6	6	4	5	1.19411e-004	2.08243e-003	0.	0.	7.27778	0.	0.	1.	0.	0.	0.	60.	
4.40156	58.8367	82	0	4	6	6	4	5	1.29507e-004	2.08243e-003	0.	0.	7.55556	0.	0.	1.	0.	0.	0.	60.	
4.41847	59.1593	83	0	4	6	6	4	5	1.39602e-004	2.08243e-003	0.	0.	7.83333	0.	0.	1.	0.	0.	0.	60.	
4.4355	58.7147	84	0	4	7	7	4	5	1.49698e-004	2.08243e-003	0.	0.	8.11111	0.	0.	1.	0.	0.	0.	60.	
4.45247	58.9362	85	0	4	7	7	4	6	1.59794e-004	3.1328e-003	0.	0.	8.38889	0.	0.	1.	0.	0.	0.	60.	
4.4694	59.0633	86	0	5	7	7	5	6	1.76693e-004	3.1328e-003	0.	0.	8.66667	0.	0.	1.	0.	0.	0.	60.	
4.48637	58.9068	87	0	5	7	7	5	6	1.91882e-004	3.1328e-003	0.	0.	8.94444	0.	0.	1.	0.	0.	0.	60.	
4.50326	59.2175	88	0	5	7	7	5	6	2.0707e-004	3.1328e-003	0.	0.	9.22222	0.	0.	1.	0.	0.	0.	60.	
4.52057	57.7878	89	0	5	7	7	5	6	2.22258e-004	3.1328e-003	0.	0.	9.5	0.	0.	1.	0.	0.	0.	60.	
4.53794	57.5549	90	0	5	7	7	5	6	2.37446e-004	3.1328e-003	0.	0.	9.77778	0.	0.	1.	0.	0.	0.	60.	
4.55497	58.7345	91	0	5	7	7	5	6	2.52635e-004	3.1328e-003	0.	0.	10.0556	0.	0.	1.	0.	0.	0.	60.	
4.57214	58.2266	92	0	5	8	8	5	6	2.67823e-004	3.1328e-003	0.	0.	10.3333	0.	0.	1.	0.	0.	0.	60.	
4.58915	58.8033	93	0	5	8	8	5	7	2.83011e-004	4.40274e-003	0.	0.	10.6111	0.	0.	1.	0.	0.	0.	60.	
4.60594	59.5303	94	0	6	8	8	6	7	3.09482e-004	4.40274e-003	0.	0.	10.8889	0.	0.	1.	0.	0.	0.	60.	
4.62293	58.8692	95	0	6	8	8	6	7	3.30827e-004	4.40274e-003	0.	0.	11.1667	0.	0.	1.	0.	0.	0.	60.	
4.63981	59.2524	96	0	6	8	8	6	7	3.52172e-004	4.40274e-003	0.	0.	11.4444	0.	0.	1.	0.	0.	0.	60.	
4.65679	58.8838	97	0	6	8	8	6	7	3.73517e-004	4.40274e-003	0.	0.	11.7222	0.	0.	1.	0.	0.	0.	60.	
4.67373	59.0454	98	0	6	8	8	6	7	3.94862e-004	4.40274e-003	0.	0.	12.	0.	0.	1.	0.	0.	0.	60.	
4.6905	59.6321	99	0	6	9	9	6	7	4.16207e-004	4.40274e-003	0.	0.	12.2778	0.	0.	1.	0.	0.	0.	60.	
4.70744	59.0202	100	0	6	9	9	6	8	4.37552e-004	5.89687e-003	0.	0.	12.5556	0.	0.	1.	0.	0.	0.	60.	
4.72495	57.1133	101	0	7	9	9	7	8	4.6891e-004	5.89687e-003	0.	0.	12.8333	0.	0.	1.	0.	0.	0.	60.	
4.74095	62.5023	102	0	7	9	9	7	8	4.97499e-004	5.89687e-003	0.	0.	13.1111	0.	0.	1.	0.	0.	0.	60.	
4.75779	59.3661	103	0	7	9	9	7	8	5.26088e-004	5.89687e-003	0.	0.	13.3889	0.	0.	1.	0.	0.	0.	60.	
4.77471	59.0949	104	0	7	9	9	7	8	5.54677e-004	5.89687e-003	0.	0.	13.6667	0.	0.	1.	0.	0.	0.	60.	
4.79195	58.0145	105	0	7	9	9	7	8	5.83266e-004	5.89687e-003	0.	0.	13.9444	0.	0.	1.	0.	0.	0.	60.	
4.80895	58.8221	106	0	7	10	10	7	8	6.11855e-004	5.89687e-003	0.	0.	14.2222	0.	0.	1.	0.	0.	0.	60.	
4.82596	58.8075	107	0	7	10	10	7	8	6.40443e-004	5.89687e-003	0.	0.	14.5	0.	0.	1.	0.	0.	0.	60.	
4.84295	58.8326	108	0	7	10	10	7	9	6.69032e-004	7.6266e-003	0.	0.	14.7778	0.	0.	1.	0.	0.	0.	60.	
4.85995	58.8221	109	0	8	10	10	8	9	7.14268e-004	7.6266e-003	0.	0.	15.0556	0.	0.	1.	0.	0.	0.	60.	
4.87698	58.7324	110	0	8	10	10	8	9	7.51243e-004	7.6266e-003	0.	0.	15.3333	0.	0.	1.	0.	0.	0.	60.	
4.89398	58.8221	111	0	8	10	10	8	9	7.88218e-004	7.6266e-003	0.	0.	15.6111	0.	0.	1.	0.	0.	0.	60.	
4.91096	58.9131	112	0	8	10	10	8	9	8.25193e-004	7.6266e-003	0.	0.	15.8889	0.	0.	1.	0.	0.	0.	60.	
4.92796	58.8158	113	0	8	10	10	8	9	8.62167e-004	7.6266e-003	0.	0.	16.1667	0.	0.	1.	0.	0.	0.	60.	
4.94398	62.4116	114	0	8	11	11	8	9	8.99142e-004	7.6266e-003	0.	0.	16.4444	0.	0.	1.	0.	0.	0.	60.	
4.96144	57.2663	115	0	8	11	11	8	10	9.36117e-004	9.59011e-003	0.	0.	16.7222	0.	0.	1.	0.	0.	0.	60.	
4.97796	60.5422	116	0	9	11	11	9	10	9.8871e-004	9.59011e-003	0.	0.	17.	0.	0.	1.	0.	0.	0.	60.	
4.99482	59.2991	117	0	9	11	11	9	10	1.0352e-003	9.59011e-003	0.	0.	17.2778	0.	0.	1.	0.	0.	0.	60.	
5.01169	59.298	118	0	9	11	11	9	10	1.0817e-003	9.59011e-003	0.	0.	17.5556	0.	0.	1.	0.	0.	0.	60.	
5.02864	58.9708	119	0	9	11	11	9	10	1.12819e-003	9.59011e-003	0.	0.	17.8333	0.	0.	1.	0.	0.	0.	60.	
5.04589	58.0033	120	0	9	11	11	9	10	1.17469e-003	9.59011e-003	0.	0.	18.1111	0.	0.	1.	0.	0.	0.	60.	
5.06276	59.2652	121	0	9	12	12	9	10	1.22118e-003	9.59011e-003	0.	0.	18.3889	0.	0.	1.	0.	0.	0.	60.	
5.07962	59.2949	122	0	9	12	12	9	11	1.26767e-003	1.18059e-002	0.	0.	18.6667	0.	0.	1.	0.	0.	0.	60.	
5.0964	59.6107	123	0	10	12	12	10	11	1.32866e-003	1.18059e-002	0.	0.	18.9444	0.	0.	1.	0.	0.	0.	60.	
5.11341	58.7877	124	0	10	12	12	10	11	1.3859e-003	1.18059e-002	0.	0.	19.2222	0.	0.	1.	0.	0.	0.	60.	
5.13033	59.1076	125	0	10	12	12	10	11	1.44313e-003	1.18059e-002	0.	0.	19.5	0.	0.	1.	0.	0.	0.	60.	
5.14838	55.3905	126	0	10	12	12	10	11	1.50037e-003	1.18059e-002	0.	0.	19.7778	0.	0.	1.	0.	0.	0.	60.	
5.16497	60.2767	127	0	10	12	12	10	11	1.55761e-003	1.18059e-002	0.	0.	20.0556	0.	0.	1.	0.	0.	0.	60.	
5.18197	58.8347	128	0	10	13	13	10	11	1.61484e-003	1.18059e-002	0.	0.	20.3333	0.	0.	1.	0.	0.	0.	60.	
5.19897	58.8075	129	0	10	13	13	10	12	1.67208e-003	1.42588e-002	0.	0.	20.6111	0.	0.	1.	0.	0.	0.	60.	
5.21598	58.796	130	0	10	13	13	10	12	1.74251e-003	1.42588e-002	0.	0.	20.8889	0.	0.	1.	0.	0.	0.	60.	
5.23297	58.8597	131	0	11	13	13	11	12	1.81163e-003	1.42588e-002	0.	0.	21.1667	0.	0.	1.	0.	0.	0.	60.	
5.24993	58.9593	132	0	11	13	13	11	12	1.88076e-003	1.42588e-002	0.	0.	21.4444	0.	0.	1.	0.	0.	0.	60.	
5.26697	58.6856	133	0	11	13	13	11	12	1.94989e-003	1.42588e-002	0.	0.	21.7222	0.	0.	1.	0.	0.	0.	60.	
5.28397	58.8106	134	0	11	13	13	11	12	2.01902e-003	1.42588e-002	0.	0.	22.	0.	0.	1.	0.	0.	0.	60.	
5.3	62.4128	135	0	11	14	14	11	12	2.08815e-003	1.42588e-002	0.	0.	22.2778	0.	0.	1.	0.	0.	0.	60.	
5.31704	58.6866	136	0	11	14	14	11	12	2.15728e-003	1.42588e-002	0.	0.	22.5556	0.	0.	1.	0.	0.	0.	60.	
5.33387	59.3927	137	0	11	14	14	11	13	2.2264e-003	1.69674e-002	0.	0.	22.8333	0.	0.	1.	0.	0.	0.	60.	
5.35066	59.5592	138	0	12	14	14	12	13	2.32077e-003	1.69674e-002	0.	0.	23.1111	0.	0.	1.	0.	0.	0.	60.	
5.36762	58.975	139	0	12	14	14	12	13	2.40303e-003	1.69674e-002	0.	0.	23.3889	0.	0.	1.	0.	0.	0.	60.	
5.38464	58.7512	140	0	12	14	14	12	13	2.48529e-003	1.69674e-002	0.	0.	23.6667	0.	0.	1.	0.	0.	0.	60.	
5.40155	59.153	141	0	12	14	14	12	13	2.56755e-003	1.69674e-002	0.	0.	23.9444	0.	0.	1.	0.	0.	0.	60.	
5.41859	58.6669	142	0	12	15	15	12	13	2.64981e-003	1.69674e-002	0.	0.	24.2222	0.	0.	1.	0.	0.	0.	60.	
5.43548	59.2037	143	0	12	15	15	12	13	2.73207e-003	1.69674e-002	0.	0.	24.5	0.	0.	1.	0.	0.	0.	60.	
5.45247	58.8608	144	0	12	15	15	12	14	2.81433e-003	1.99371e-002	0.	0.	24.7778	0.	0.	1.	0.	0.	0.	60.	
5.46931	59.3948	145	0	13	15	15	13	14	2.9223e-003	1.99371e-002	0.	0.	25.0556	0.	0.	1.	0.	0.	0.	60.	
