Time	FPS	Frame	Crash	RB	RU	LU	LB	OC	Dither	DAngle	swAngle	OX	OY	OZ	HX	HY	HZ	DX	DY	DZ	HA	AccumulativeHeading(Y)	Speed	Dynamic
2.05793	58.8399	92	0	3	14	13	2	8	2.82936	1.13674	19.765	-2.74451	0.986884	0.	2.60348e-002	0.999661	0.	2.60348e-002	0.999661	0.	7.00011	1.49185	6.79708	1	
2.07393	62.4784	93	0	3	14	13	3	8	2.82488	1.01451	20.7062	-2.73866	1.01639	0.	2.81672e-002	0.999603	0.	2.81672e-002	0.999603	0.	7.33345	1.61408	6.79708	1	
2.09093	58.8357	94	0	3	14	13	3	8	2.82009	0.886732	21.6474	-2.73252	1.0458	0.	3.03964e-002	0.999538	0.	3.03964e-002	0.999538	0.	7.66678	1.74186	6.79708	1	
2.10795	58.7522	95	0	3	15	13	3	8	2.81483	0.749224	23.2954	-2.72592	1.07503	0.	3.27952e-002	0.999462	0.	3.27952e-002	0.999462	0.	8.25045	1.87936	6.79708	1	
2.12494	58.8691	96	0	3	15	13	3	8	2.80922	0.604778	24.471	-2.71896	1.10413	0.	3.53148e-002	0.999376	0.	3.53148e-002	0.999376	0.	8.6668	2.02381	6.79708	1	
2.14193	58.8482	97	0	3	15	13	3	8	2.80329	0.454776	25.4122	-2.7117	1.13313	0.	3.79311e-002	0.99928	0.	3.79311e-002	0.99928	0.	9.00014	2.17381	6.79708	1	
2.15915	58.0562	98	0	3	15	13	3	8	2.79706	0.299218	26.3533	-2.70414	1.16202	0.	4.0644e-002	0.999174	0.	4.0644e-002	0.999174	0.	9.33348	2.32937	6.79708	1	
2.17593	59.6246	99	0	3	15	13	3	8	2.79058	0.139488	27.0602	-2.69632	1.19081	0.	4.34293e-002	0.999057	0.	4.34293e-002	0.999057	0.	9.5838	2.4891	6.79708	1	
2.19292	58.8419	100	0	3	15	13	3	8	2.78384	-2.44147e-002	27.767	-2.68826	1.21952	0.	4.62871e-002	0.998928	0.	4.62871e-002	0.998928	0.	9.83413	2.653	6.79708	1	
2.20993	58.8043	101	0	3	15	13	3	8	2.77685	-0.192467	28.4701	-2.67995	1.24813	0.	4.92168e-002	0.998788	0.	4.92168e-002	0.998788	0.	10.0832	2.82105	6.79708	1	
2.22693	58.8127	102	0	3	15	13	3	8	2.76965	-0.363309	28.9425	-2.67143	1.27666	0.	5.21947e-002	0.998637	0.	5.21947e-002	0.998637	0.	10.2505	2.9919	6.79708	1	
2.24395	58.7501	103	0	3	15	13	3	9	2.76226	-0.145697	29.4113	-2.66272	1.30513	0.	5.52204e-002	0.998474	0.	5.52204e-002	0.998474	0.	10.4165	3.1655	6.79708	1	
2.26095	58.8325	104	0	3	15	14	3	9	2.75934	-0.319306	29.4113	-2.65393	1.33357	0.	5.82455e-002	0.998302	0.	5.82455e-002	0.998302	0.	10.4165	3.33911	6.79708	1	
2.27793	58.8901	105	0	3	15	14	3	9	2.75197	-0.492914	29.4113	-2.64505	1.36198	0.	6.12701e-002	0.998121	0.	6.12701e-002	0.998121	0.	10.4165	3.51272	6.79708	1	
2.29493	58.8043	106	0	3	16	14	3	9	2.74451	-0.666522	29.4113	-2.63608	1.39037	0.	6.42942e-002	0.997931	0.	6.42942e-002	0.997931	0.	10.4165	3.68633	6.79708	1	
2.31093	62.5197	107	0	4	16	14	3	9	2.73696	-0.840131	29.4113	-2.62702	1.41872	0.	6.73177e-002	0.997732	0.	6.73177e-002	0.997732	0.	10.4165	3.85994	6.79708	1	
2.32793	58.8033	108	0	4	16	14	3	9	2.72933	-1.01374	29.4113	-2.61788	1.44706	0.	7.03405e-002	0.997523	0.	7.03405e-002	0.997523	0.	10.4165	4.03355	6.79708	1	
2.34493	58.8451	109	0	4	16	14	4	9	2.72161	-1.18735	29.4113	-2.60866	1.47536	0.	7.33627e-002	0.997305	0.	7.33627e-002	0.997305	0.	10.4165	4.20715	6.79708	1	
2.36194	58.7856	110	0	4	16	14	4	9	2.7138	-1.36096	29.4113	-2.59935	1.50363	0.	7.63843e-002	0.997078	0.	7.63843e-002	0.997078	0.	10.4165	4.38076	6.79708	1	
2.37894	58.8116	111	0	4	16	14	4	9	2.7059	-1.53456	29.4113	-2.58995	1.53188	0.	7.94051e-002	0.996842	0.	7.94051e-002	0.996842	0.	10.4165	4.55437	6.79708	1	
2.39494	62.5315	112	0	4	16	14	4	9	2.69792	-1.70817	29.4113	-2.58047	1.5601	0.	8.24252e-002	0.996597	0.	8.24252e-002	0.996597	0.	10.4165	4.72798	6.79708	1	
2.41095	62.4561	113	0	4	16	14	4	9	2.68985	-1.88178	29.4113	-2.5709	1.58829	0.	8.54445e-002	0.996343	0.	8.54445e-002	0.996343	0.	10.4165	4.90159	6.79708	1	
2.42793	58.8838	114	0	4	16	14	4	9	2.68169	-2.05539	29.4113	-2.56125	1.61645	0.	8.84631e-002	0.996079	0.	8.84631e-002	0.996079	0.	10.4165	5.0752	6.79708	1	
